dyad,MonthYear,event_count,goldstein_std,goldstein_min,num_mentions_sum,num_articles_sum,num_sources_sum,high_conflict_count,low_conflict_count,quad4_count,high_conflict_pct,low_conflict_pct,quad4_pct
CHN-JPN,202401,1920,4.488241106574026,-10.0,8179,8044,1982,126,580,198.0,0.065625,0.3020833333333333,0.103125
CHN-JPN,202402,1504,4.617990708283468,-10.0,6809,6683,1574,71,493,213.0,0.0472074468085106,0.3277925531914893,0.1416223404255319
CHN-JPN,202403,1781,4.404965006681912,-10.0,7860,7621,1834,81,638,194.0,0.0454800673778775,0.3582257158899494,0.1089275687815833
CHN-JPN,202404,3296,4.112042342662989,-10.0,13473,13224,3368,132,1088,255.0,0.0400485436893203,0.3300970873786408,0.0773665048543689
CHN-JPN,202405,3955,4.202760638440738,-10.0,16893,16487,4161,179,858,321.0,0.0452591656131479,0.2169405815423514,0.0811630847029077
CHN-JPN,202406,2080,4.532021938519589,-10.0,8338,8153,2114,165,682,224.0,0.079326923076923,0.3278846153846154,0.1076923076923077
CHN-JPN,202407,2926,4.573675151124055,-10.0,12081,11843,3024,127,1192,295.0,0.043403964456596,0.4073820915926179,0.1008202323991797
CHN-JPN,202408,3063,4.454080075109486,-10.0,13771,13397,3161,143,1423,440.0,0.0466862553052562,0.4645772118837741,0.1436500163238654
CHN-JPN,202409,4470,4.8022347778162615,-10.0,19741,19431,4695,374,1713,655.0,0.083668903803132,0.3832214765100671,0.1465324384787472
CHN-JPN,202410,2137,4.236672772769436,-10.0,10563,9282,2287,116,685,228.0,0.0542817033224146,0.3205428170332241,0.1066916237716424
CHN-JPN,202411,2263,4.120907888787972,-10.0,9743,9485,2377,75,675,221.0,0.033141847105612,0.2982766239505082,0.09765797613787
CHN-JPN,202412,3122,3.9663789466378097,-10.0,11286,11106,3177,127,800,273.0,0.0406790518898142,0.25624599615631,0.0874439461883408
CHN-JPN,202501,2726,3.950636912002088,-10.0,11627,11520,2922,133,716,256.0,0.0487894350696991,0.2626559060895084,0.0939104915627292
CHN-JPN,202502,1876,4.1538844265848685,-10.0,7432,7364,1921,83,574,140.0,0.0442430703624733,0.3059701492537313,0.0746268656716417
CHN-JPN,202503,3241,3.832607414344671,-10.0,12965,12692,3330,76,856,214.0,0.0234495526072199,0.2641160135760568,0.0660290033940142
CHN-JPN,202504,3042,4.2222134015216986,-10.0,12612,12085,3097,140,815,226.0,0.0460223537146614,0.2679158448389218,0.0742932281393819
CHN-JPN,202505,3218,4.275233556167856,-10.0,14222,13781,3303,164,1329,336.0,0.0509633312616532,0.4129894344313238,0.1044126786824114
CHN-JPN,202506,1485,4.369309949071834,-10.0,6275,6097,1548,97,626,196.0,0.0653198653198653,0.4215488215488215,0.1319865319865319
CHN-JPN,202507,3155,4.226857622691589,-10.0,14362,14104,3297,144,1347,310.0,0.0456418383518225,0.4269413629160063,0.098256735340729
CHN-JPN,202508,5021,4.5061870055495925,-10.0,21967,21107,5279,446,1420,565.0,0.0888269269069906,0.2828121888070105,0.1125273849830711
CHN-JPN,202509,4153,4.232220784877032,-10.0,19592,18587,4313,312,1457,396.0,0.0751264146400192,0.3508307247772694,0.0953527570431013
CHN-JPN,202510,3241,3.604548709247225,-10.0,12479,12090,3461,94,685,174.0,0.0290033940141931,0.2113545202098118,0.0536871336007405
CHN-JPN,202511,8010,4.169097019295939,-10.0,36629,35631,8348,432,3332,775.0,0.0539325842696629,0.415980024968789,0.0967540574282147
CHN-JPN,202512,6031,4.459348211744644,-10.0,27550,26906,6275,585,2788,825.0,0.0969988393301276,0.4622782291493948,0.1367932349527441
CHN-JPN,202602,2621,4.581913661402313,-10.0,11792,11151,2698,194,929,344.0,0.07401755055322395,0.3544448683708508,0.13124761541396412
CHN-JPN,202603,2203,4.460444504718795,-10.0,9245,9047,2276,165,899,249.0,0.07489786654561961,0.40807989105764864,0.11302768951429869
CHN-JPN,202604,1848,4.742676773586403,-10.0,8606,8430,1912,173,806,236.0,0.09361471861471861,0.43614718614718617,0.1277056277056277
CHN-JPN,202605,2191,4.259170564131771,-10.0,9440,9163,2247,134,788,166.0,0.0611592879963487,0.3596531264262894,0.07576449109995435
CHN-JPN,202606,2045,4.3944101360947885,-10.0,9259,9061,2110,132,905,265.0,0.06454767726161369,0.44254278728606355,0.1295843520782396
CHN-JPN,202607,2392,4.603028467400871,-10.0,10652,10261,2408,185,1187,331.0,0.07734113712374582,0.4962374581939799,0.13837792642140467
CHN-KOR,201501,91,3.703942063961964,-9.0,499,493,97,1,15,11.0,0.0109890109890109,0.1648351648351648,0.1208791208791208
CHN-KOR,201502,752,3.979641188657164,-10.0,3148,3138,799,24,107,44.0,0.0319148936170212,0.1422872340425532,0.0585106382978723
CHN-KOR,201503,4655,3.879743852889243,-10.0,22317,21607,5071,147,902,218.0,0.031578947368421,0.1937701396348013,0.0468313641245972
CHN-KOR,201504,2051,4.205092320868293,-10.0,9478,9378,2220,82,612,173.0,0.0399804973183812,0.2983910287664554,0.0843490980009751
CHN-KOR,201505,3155,3.3103674185665164,-10.0,13413,13095,3461,67,513,116.0,0.0212361331220285,0.1625990491283676,0.0367670364500792
CHN-KOR,201506,3383,3.8163005958314975,-10.0,16488,16041,3674,96,480,216.0,0.0283771800177357,0.1418859000886786,0.0638486550399054
